author,title,source,type,doi
"Lagrue, C.; Kelly, D. W.; Hicks, A.; Poulin, R.","Factors influencing infection patterns of trophically transmitted parasites among a fish community: host diet, host-parasite compatibility or both?",JOURNAL OF FISH BIOLOGY,J,https://doi.org/10.1111/j.1095-8649.2011.03041.x
"FOSTER, RE",HOST NUTRITION AFFECTS VIRUS INFECTION,PHYTOPATHOLOGY,J,NA
"Petkevicius, Saulius",The interaction between intestinal helminth infection and host nutrition. Review,VETERINARIJA IR ZOOTECHNIKA,J,NA
"Hurtado, Paul J.; Hall, Spencer R.; Ellner, Stephen P.",Infectious disease in consumer populations: dynamic consequences of resource-mediated transmission and infectiousness,THEORETICAL ECOLOGY,J,https://doi.org/10.1007/s12080-013-0208-2
"Strauss, Alexander T.; Bowerman, Lucas; Porath-Krause, Anita; Seabloom, Eric W.; Borer, Elizabeth T.","Mixed infection, risk projection, and misdirection: Interactions among pathogens alter links between host resources and disease",ECOLOGY AND EVOLUTION,J,https://doi.org/10.1002/ece3.7781
"BHATTACHARYA, MK",EVIDENCES OF BIDIRECTIONAL FLOW OF INORGANIC NUTRIENTS BETWEEN HOST AND PARASITE DURING CUSCULA INFECTION,PHYTON,J,NA
"Garcia, P.; Oliveira, L.; Tavares, J.","Trichogramma cordubensis (Hym., Trichogrammatidae): a dynamics study of an Azorean population.",Colloques de l'INRA,J,NA
"NESHEIM, MC",SOME EXPERIMENTAL APPROACHES TO THE STUDY OF NUTRITION AND PARASITIC INFECTION,FEDERATION PROCEEDINGS,J,NA
"Narr, Charlotte F.; Frost, Paul C.",Exploited and excreting: parasite type affects host nutrient recycling,ECOLOGY,J,https://doi.org/10.1002/ecy.1437
"SCHNEIDER, HA",GENETICS AND NUTRITION OF THE HOST IN RELATION TO SUSCEPTIBILITY TO INFECTION,ANNALS OF THE NEW YORK ACADEMY OF SCIENCES,J,https://doi.org/10.1111/j.1749-6632.1956.tb40099.x
"Gromova, N.N.",[The influence of feeding on the helminth fauna in Tetraonidae.],Ekologiya paraziticheskikh organizmov. [Ecology of parasitic organisms.].,B,NA
"Hostacka, A; Ciznar, I",[The role of iron in bacterial virulence].,"Epidemiologie, mikrobiologie, imunologie : casopis Spolecnosti pro epidemiologii a mikrobiologii Ceske lekarske spolecnosti J.E. Purkyne",J,NA
"Cordero del Campillo, M.","Feeding, nutrition and parasitic diseases.",Alimentacion y Mejora Animales (Madrid),J,NA
"Ezenwa, VO","Interactions among host diet, nutritional status and gastrointestinal parasite infection in wild bovids",INTERNATIONAL JOURNAL FOR PARASITOLOGY,J,https://doi.org/10.1016/j.ijpara.2003.11.012
TU J C; FORD R E,INFLUENCE OF HOST NUTRITION ON SUSCEPTIBILITY OF MULTIPLICATION IN AND SYMPTOM EXPRESSION BY CORN-M TO INFECTION BY MAIZE-M DWARF MOSAIC VIRUS ZEA-MAYS-M,Phytopathology,J,NA
"Amornrit, Warisa; Muangsombut, Veerachat; Wangteeraprasert, Tanapol; Korbsrisate, Sunee",Elevated intracellular levels of iron in host cells promotes Burkholderia pseudomallei infection,ASIAN BIOMEDICINE,J,https://doi.org/10.5372/1905-7415.0603.078
"Price, P.W.",Host populations as resources defining parasite community organization.,Parasite communities: patterns and processes.,B,NA
"CROMPTON, DWT",INFLUENCE OF PARASITIC INFECTION ON FOOD-INTAKE,FEDERATION PROCEEDINGS,J,NA
"KARTHA, K. K.; NEMA, K. G.",Effect of host nutrition on the incidence and severity of a Rhizoctonia disease of Phaseolus aureus.,Indian Phytopathology,J,NA
"Nigam, S.C.","Effect of host diet on fatty acid composition of Cotugnia diagonopora (Pasquelle, 1891) and Raillietina fuhrmanni (Southwell, 1922).",Indian Journal of Parasitology,J,NA
"Manzi, Florent; Agha, Ramsy; Lu, Yameng; Ben-Ami, Frida; Wolinska, Justyna",Temperature and host diet jointly influence the outcome of infection in a Daphnia-fungal parasite system,FRESHWATER BIOLOGY,J,https://doi.org/10.1111/fwb.13464
Zhang Peng-yun; Liu Ma-feng; Cheng An-chun,Bacterial Iron Uptake System and Anti-Infectious Immunity of the Host.,Shengming Kexue Yanjiu,J,NA
"Rumyantsev, E.A.; Ieshko, E.P.; Shulman, B.S.",Parasitic fauna of some fishes in the Ladoga Lake.,Parasitological studies of fish in the northern basin. Selected papers.,B,NA
"Roca, V; Carretero, MA; Llorente, GA; Montori, A; Martin, JE",Helminth communities of two lizard populations (Lacertidae) from Canary Islands (Spain): Host diet-parasite relationships,AMPHIBIA-REPTILIA,J,https://doi.org/10.1163/156853805774806160
"Smith, Val",Host resource supplies influence the dynamics and outcome of infectious disease,INTEGRATIVE AND COMPARATIVE BIOLOGY,J,https://doi.org/10.1093/icb/icm006
"CAIRNS, JOHN",The effects of variation in the host diet upon Tritrichomonas augusta and T. batrachorum,NOTULAE NATURAE [PHILADELPHIA],J,NA
"Barbasiewicz, W.; Humiczewska, M.","The effect of fat diets on the survival rates of the tapeworm Hymenolepis nana (von Siebold, 1852).",Wiadomosci Parazytologiczne,J,NA
"Smith, VH; Jones, TP; Smith, MS",Host nutrition and infectious disease: an ecological view,FRONTIERS IN ECOLOGY AND THE ENVIRONMENT,J,NA
[Anonymous],MILK AND MALARIA,BMJ-BRITISH MEDICAL JOURNAL,J,NA
"Kuchai, J. A.; Fayaz Ahmad; Chishti, M. Z.; Hidayatullah Tak",Impact of host's diet and parasite intensity on Morphology of Moniezia expansa.,Agriculture and Biology Journal of North America,J,NA
"Westby, Katie M.; Sweetman, Brenden M.; Adalsteinsson, Solny A.; Biro, Elizabeth G.; Medley, Kim A.","Host food quality and quantity differentially affect Ascogregarina barretti parasite burden, development and within-host competition in the mosquito Aedes triseriatus",PARASITOLOGY,J,https://doi.org/10.1017/S0031182019000994
"Baker, Lydia J.; Alegado, Rosanna A.; Kemp, Paul F.","Response of diatom-associated bacteria to host growth state, nutrient concentrations, and viral host infection in a model system",ENVIRONMENTAL MICROBIOLOGY REPORTS,J,https://doi.org/10.1111/1758-2229.12456
"Chaudhuri, R. N.; Chakravarty, N. K.",Milk diet in human malaria.,Bulletin of the Calcutta School of Tropical Medicine,J,NA
"Dargie, J. D.; Berry, C. I.",The influence of host nutrition on the development of fascioliasis in sheep.,"Fourth International Congress of Parasitology, 19-26 August 1978, Warszawa, Short Communications, Section C.",J,NA
"Zhang, Yi-bo; Liu, Wan-xue; Wang, Wei; Wan, Fang-hao; Li, Qiang","Lifetime gains and patterns of accumulation and mobilization of nutrients in females of the synovigenic parasitoid, Diglyphus isaea Walker (Hymenoptera: Eulophidae), as a function of diet",JOURNAL OF INSECT PHYSIOLOGY,J,https://doi.org/10.1016/j.jinsphys.2011.05.002
"Hunter, G. C.",Nutrition and host-helminth relationships.,Nutrition Abstracts and Reviews,J,NA
"Zasityte, R.","Cestodes of shrews (Insectivora, Soricidae) from Lithuania.",Ekologija,J,NA
"Oteifa, B. A.; Elgindi, A. Y.",Host nutrition in relation to infection by the reniform nematode Rotylenchulus reniformis.,"Simposio Internacional (XII) de Nematologia, Sociedad Europea de Nematologos, 1-7 Septiembre, 1974, Granada, Spain.",J,NA
"Mueller, T.F.",Comparative study on the host relations of three species of Heliothis (Lepidoptera: Noctuidae) and their parasitoid Microplitis croceipes (Hymenoptera: Braconidae).,Dissertation Abstracts International B Sciences and Engineering,J,NA
"Bonds, Matthew H.",Host life-history strategy explains pathogen-induced sterility,AMERICAN NATURALIST,J,https://doi.org/10.1086/506922
